"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Nuclear receptor subfamily 1 group I member 3","NR1I3","Q14994","CHEMBL5503","Nuclear receptor","1.0","1 /  1     "
"Translocator protein","TSPO","P30536","CHEMBL5742","Membrane receptor","1.0","443 /  134     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.448517241945","338 /  8     "
"Cannabinoid receptor 1","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.0972399887602","643 /  87     "
"Lysosomal protective protein","CTSA","P10619","CHEMBL6115","Protease","0.0972399887602","0 /  305     "
"Serine/threonine-protein kinase/endoribonuclease IRE1","ERN1","O75460","CHEMBL1163101","Enzyme","0.0972399887602","0 /  5     "
"GABA A receptor alpha-2/beta-2/gamma-2","GABRA2 GABRB2 GABRG2","P47869 P47870 P18507","CHEMBL2111413","Ligand-gated ion channel","0.0972399887602","8 /  0     "
"G protein-coupled receptor 44","PTGDR2","Q9Y5Y4","CHEMBL5071","Family A G protein-coupled receptor","0.0972399887602","18 /  0     "
"C5a anaphylatoxin chemotactic receptor","C5AR1","P21730","CHEMBL2373","Family A G protein-coupled receptor","0.0972399887602","8 /  0     "
"Dual specificity protein phosphatase 3","DUSP3","P51452","CHEMBL2635","Phosphatase","0.0972399887602","2 /  0     "
"Dihydrofolate reductase","DHFR","P00374","CHEMBL202","Oxidoreductase","0.0972399887602","10 /  0     "
"Bombesin receptor subtype-3","BRS3","P32247","CHEMBL4080","Family A G protein-coupled receptor","0.0972399887602","6 /  0     "
"Leukotriene A4 hydrolase","LTA4H","P09960","CHEMBL4618","Protease","0.0972399887602","5 /  0     "
"FK506-binding protein 1A","FKBP1A","P62942","CHEMBL1902","Isomerase","0.0972399887602","50 /  0     "
"Short transient receptor potential channel 6","TRPC6","Q9Y210","CHEMBL2417347","Voltage-gated ion channel","0.0972399887602","11 /  0     "
"Short transient receptor potential channel 3","TRPC3","Q13507","CHEMBL2417348","Voltage-gated ion channel","0.0972399887602","10 /  0     "
"Toll-like receptor (TLR7/TLR9)","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.0972399887602","11 /  0     "
"Serotonin 2a (5-HT2a) receptor   (by homology)","HTR2A","P28223","CHEMBL224","Family A G protein-coupled receptor","0.0972399887602","44 /  53     "
"Metabotropic glutamate receptor 2","GRM2","Q14416","CHEMBL5137","Family C G protein-coupled receptor","0.0972399887602","52 /  0     "
"Serotonin 2b (5-HT2b) receptor","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.0972399887602","34 /  0     "
"Bile acid receptor FXR","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.0972399887602","17 /  0     "
"Glucose-6-phosphatase","G6PC","P35575","CHEMBL2282","Enzyme","0.0972399887602","8 /  0     "
"Cytochrome P450 2C9","CYP2C9","P11712","CHEMBL3397","Cytochrome P450","0.0972399887602","8 /  0     "
"Cytochrome P450 2C19","CYP2C19","P33261","CHEMBL3622","Cytochrome P450","0.0972399887602","12 /  0     "
"Sigma opioid receptor","SIGMAR1","Q99720","CHEMBL287","Membrane receptor","0.0972399887602","12 /  0     "
"Metabotropic glutamate receptor 5","GRM5","P41594","CHEMBL3227","Family C G protein-coupled receptor","0.0972399887602","268 /  50     "
"G-protein coupled receptor kinase 2","GRK2","P25098","CHEMBL4079","Kinase","0.0972399887602","8 /  0     "
"Myosin light chain kinase, smooth muscle","MYLK","Q15746","CHEMBL2428","Kinase","0.0972399887602","5 /  0     "
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.0972399887602","11 /  0     "
"NAD-dependent deacetylase sirtuin 2","SIRT2","Q8IXJ6","CHEMBL4462","Eraser","0.0972399887602","27 /  0     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.0972399887602","162 /  0     "
"Cystic fibrosis transmembrane conductance regulator","CFTR","P13569","CHEMBL4051","Other ion channel","0.0972399887602","1 /  0     "
"Thyroid hormone receptor beta-1","THRB","P10828","CHEMBL1947","Nuclear receptor","0.0972399887602","13 /  0     "
"GABA-A receptor; alpha-1/beta-3/gamma-2","GABRB3 GABRG2 GABRA1","P28472 P18507 P14867","CHEMBL2094121","Ligand-gated ion channel","0.0972399887602","113 /  0     "
"Neuromedin B receptor","NMBR","P28336","CHEMBL3636","Family A G protein-coupled receptor","0.0972399887602","17 /  0     "
"TGF-beta receptor type I","TGFBR1","P36897","CHEMBL4439","Kinase","0.0972399887602","48 /  0     "
"Bile salt export pump","ABCB11","O95342","CHEMBL6020","Primary active transporter","0.0972399887602","1 /  0     "
"Transitional endoplasmic reticulum ATPase","VCP","P55072","CHEMBL1075145","Primary active transporter","0.0972399887602","41 /  0     "
"DNA (cytosine-5)-methyltransferase 3A","DNMT3A","Q9Y6K1","CHEMBL1992","Reader","0.0972399887602","2 /  0     "
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.0972399887602","622 /  38     "
"Nuclear receptor ROR-gamma","RORC","P51449","CHEMBL1741186","Nuclear receptor","0.0972399887602","41 /  0     "
