"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.140358731084","4 /  7     "
"Interleukin-2","IL2","P60568","CHEMBL5880","Secreted protein","0.0220563302807","0 /  1     "
"Platelet activating factor receptor","PTAFR","P25105","CHEMBL250","Family A G protein-coupled receptor","0.0220563302807","0 /  11     "
"Apoptosis regulator Bcl-X","BCL2L1","Q07817","CHEMBL4625","Other ion channel","0.0220563302807","0 /  1     "
"Vascular endothelial growth factor A","VEGFA","P15692","CHEMBL1783","Secreted protein","0.0220563302807","0 /  2     "
"Acidic fibroblast growth factor","FGF1","P05230","CHEMBL2120","Secreted protein","0.0220563302807","0 /  5     "
"Basic fibroblast growth factor","FGF2","P09038","CHEMBL3107","Secreted protein","0.0220563302807","0 /  2     "
"Heparanase","HPSE","Q9Y251","CHEMBL3921","Enzyme","0.0220563302807","0 /  4     "
"Sodium/potassium-transporting ATPase alpha-1 chain","ATP1A1","P05023","CHEMBL1807","Primary active transporter","0.0220563302807","0 /  1     "
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.0220563302807","7 /  2     "
"Thymidylate synthase   (by homology)","TYMS","P04818","CHEMBL1952","Transferase","0.0220563302807","94 /  0     "
"Integrin alpha-V/beta-3","ITGAV ITGB3","P06756 P05106","CHEMBL1907598","Membrane receptor","0.0220563302807","210 /  0     "
"Integrin alpha-IIb/beta-3","ITGA2B ITGB3","P08514 P05106","CHEMBL2093869","Membrane receptor","0.0220563302807","262 /  0     "
"Renin","REN","P00797","CHEMBL286","Protease","0.0220563302807","38 /  0     "
"Neurokinin 2 receptor","TACR2","P21452","CHEMBL2327","Family A G protein-coupled receptor","0.0220563302807","8 /  0     "
"Serine/threonine-protein kinase AKT2","AKT2","P31751","CHEMBL2431","Kinase","0.0220563302807","3 /  0     "
