"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"HLA class I histocompatibility antigen A-3","HLA-A","P04439","CHEMBL2632","Surface antigen","0.0642387798076","0 /  62     "
"Lipoxin A4 receptor   (by homology)","FPR2","P25090","CHEMBL4227","Family A G protein-coupled receptor","0.0642387798076","0 /  1     "
"Protein farnesyltransferase","FNTA FNTB","P49354 P49356","CHEMBL2094108","Enzyme","0.0642387798076","3 /  35     "
"Renin","REN","P00797","CHEMBL286","Protease","0.0642387798076","251 /  136     "
"Disks large homolog 4","DLG4","P78352","CHEMBL5666","Unclassified protein","0.0642387798076","0 /  31     "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.0642387798076","83 /  121     "
"Pepsinogen C","PGC","P20142","CHEMBL2136","Protease","0.0642387798076","6 /  8     "
"NAD-dependent deacetylase sirtuin 2","SIRT2","Q8IXJ6","CHEMBL4462","Eraser","0.0642387798076","0 /  26     "
"NAD-dependent deacetylase sirtuin 1","SIRT1","Q96EB6","CHEMBL4506","Eraser","0.0642387798076","0 /  40     "
"Cathepsin D","CTSD","P07339","CHEMBL2581","Protease","0.0642387798076","57 /  75     "
"Cathepsin E","CTSE","P14091","CHEMBL3092","Protease","0.0642387798076","7 /  15     "
"Angiotensin-converting enzyme","ACE","P12821","CHEMBL1808","Protease","0.0642387798076","0 /  114     "
"ADAM9","ADAM9","Q13443","CHEMBL5982","Protease","0.0642387798076","0 /  1     "
"Sodium/glucose cotransporter 1","SLC5A1","P13866","CHEMBL4979","Electrochemical transporter","0.0642387798076","0 /  4     "
"Inhibitor of apoptosis protein 3","XIAP","P98170","CHEMBL4198","Other cytosolic protein","0.0642387798076","0 /  91     "
"Leucine aminopeptidase","LAP3","P28838","CHEMBL3965","Protease","0.0642387798076","0 /  8     "
"Dipeptidyl peptidase IV","DPP4","P27487","CHEMBL284","Protease","0.0642387798076","0 /  224     "
"TRAIL receptor-1","TNFRSF10A","O00220","CHEMBL3551","Membrane receptor","0.0642387798076","1 /  2     "
"Calpain 1","CAPN1","P07384","CHEMBL3891","Protease","0.0642387798076","10 /  26     "
"Pepsin A","PGA5","P0DJD9","CHEMBL3295","Protease","0.0642387798076","8 /  11     "
"Prolyl endopeptidase","PREP","P48147","CHEMBL3202","Protease","0.0642387798076","0 /  19     "
"HLA class II histocompatibility antigen DRB3-1","HLA-DRB3","P79483","CHEMBL3460","Surface antigen","0.0642387798076","0 /  13     "
"Xaa-Pro aminopeptidase 1","XPNPEP1","Q9NQW7","CHEMBL3782","Protease","0.0642387798076","0 /  4     "
"Xaa-Pro dipeptidase","PEPD","P12955","CHEMBL4185","Protease","0.0642387798076","0 /  4     "
"Xaa-Pro aminopeptidase 2","XPNPEP2","O43895","CHEMBL4610","Protease","0.0642387798076","0 /  5     "
"Aminopeptidase N","ANPEP","P15144","CHEMBL1907","Protease","0.0642387798076","0 /  10     "
"Furin","FURIN","P09958","CHEMBL2611","Protease","0.0642387798076","0 /  27     "
"Subtilisin/kexin type 6","PCSK6","P29122","CHEMBL2951","Protease","0.0642387798076","0 /  10     "
"Aminopeptidase A","ENPEP","Q07075","CHEMBL3439","Protease","0.0642387798076","0 /  17     "
"26S proteosome","PSMB1","P20618","CHEMBL4208","Protease","0.0642387798076","0 /  1     "
