"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.953223376354","46 /  72     "
"DNA polymerase beta","POLB","P06746","CHEMBL2392","Enzyme","0.812695206812","5 /  12     "
"Aldo-keto reductase family 1 member B10","AKR1B10","O60218","CHEMBL5983","Enzyme","0.812695206812","7 /  7     "
"Nuclear receptor ROR-gamma","RORC","P51449","CHEMBL1741186","Nuclear receptor","0.729158153036","1 /  10     "
"Receptor-type tyrosine-protein phosphatase F (LAR)","PTPRF","P10586","CHEMBL3521","Membrane receptor","0.729158153036","1 /  1     "
"T-cell protein-tyrosine phosphatase","PTPN2","P17706","CHEMBL3807","Phosphatase","0.729158153036","13 /  24     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.729158153036","41 /  41     "
"Low molecular weight phosphotyrosine protein phosphatase","ACP1","P24666","CHEMBL4903","Phosphatase","0.729158153036","1 /  2     "
"Phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.645363044296","1 /  1     "
"Phospholipase A2 group 1B","PLA2G1B","P04054","CHEMBL4426","Enzyme","0.586636873299","1 /  1     "
"Dual specificity phosphatase Cdc25B","CDC25B","P30305","CHEMBL4804","Phosphatase","0.586636873299","4 /  6     "
"CD81 antigen","CD81","P60033","CHEMBL1075180","Surface antigen","0.51122797626","1 /  1     "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Enzyme","0.167668280636","21 /  13     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.117389882171","1 /  2     "
"Anandamide amidohydrolase","FAAH","O00519","CHEMBL2243","Enzyme","0.109013467516","0 /  13     "
"Fatty acid binding protein muscle","FABP3","P05413","CHEMBL3344","Fatty acid binding protein family","0.109013467516","0 /  5     "
"Fatty acid binding protein epidermal","FABP5","Q01469","CHEMBL3674","Fatty acid binding protein family","0.109013467516","0 /  2     "
"Peroxisome proliferator-activated receptor delta","PPARD","Q03181","CHEMBL3979","Nuclear receptor","0.109013467516","0 /  11     "
"Fatty acid-binding protein, liver","FABP1","P07148","CHEMBL5421","Fatty acid binding protein family","0.109013467516","0 /  3     "
"Nitric oxide synthase, inducible","NOS2","P35228","CHEMBL4481","Enzyme","0.109013467516","10 /  20     "
"Protein-tyrosine phosphatase 1C","PTPN6","P29350","CHEMBL3166","Phosphatase","0.109013467516","1 /  2     "
"Acyl-CoA desaturase","SCD","O00767","CHEMBL5555","Enzyme","0.109013467516","0 /  1     "
"Dual specificity phosphatase Cdc25A","CDC25A","P30304","CHEMBL3775","Phosphatase","0.100634432184","3 /  16     "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.100634432184","46 /  24     "
"Protein-tyrosine phosphatase 2C","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.100634432184","2 /  1     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.100634432184","0 /  258     "
"Protein farnesyltransferase","FNTA FNTB","P49354 P49356","CHEMBL2094108","Enzyme","0.100634432184","24 /  14     "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.100634432184","0 /  25     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.100634432184","1 /  128     "
"Corticosteroid binding globulin","SERPINA6","P08185","CHEMBL2421","Secreted protein","0.100634432184","0 /  23     "
"Testis-specific androgen-binding protein","SHBG","P04278","CHEMBL3305","Secreted protein","0.100634432184","0 /  54     "
"Glucose-6-phosphate 1-dehydrogenase","G6PD","P11413","CHEMBL5347","Enzyme","0.100634432184","0 /  7     "
"Cytochrome P450 51   (by homology)","CYP51A1","Q16850","CHEMBL3849","Cytochrome P450","0.100634432184","0 /  2     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.100634432184","2 /  5     "
"Prolyl endopeptidase","PREP","P48147","CHEMBL3202","Protease","0.100634432184","1 /  2     "
"Cyclooxygenase-1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.100634432184","0 /  3     "
"Free fatty acid receptor 1","FFAR1","O14842","CHEMBL4422","Family A G protein-coupled receptor","0.100634432184","0 /  3     "
"11-beta-hydroxysteroid dehydrogenase 2","HSD11B2","P80365","CHEMBL3746","Enzyme","0.100634432184","4 /  19     "
"Peroxisome proliferator-activated receptor alpha","PPARA","Q07869","CHEMBL239","Nuclear receptor","0.100634432184","8 /  17     "
"Carboxylesterase 2","CES2","O00748","CHEMBL3180","Enzyme","0.100634432184","1 /  14     "
"Niemann-Pick C1-like protein 1","NPC1L1","Q9UHC9","CHEMBL2027","Other membrane protein","0.100634432184","0 /  11     "
"Sigma opioid receptor","SIGMAR1","Q99720","CHEMBL287","Membrane receptor","0.100634432184","0 /  4     "
"Cytochrome P450 17A1","CYP17A1","P05093","CHEMBL3522","Cytochrome P450","0.100634432184","0 /  43     "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.100634432184","3 /  46     "
"Leukotriene B4 receptor 1","LTB4R","Q15722","CHEMBL3911","Family A G protein-coupled receptor","0.100634432184","12 /  6     "
"Fatty acid binding protein adipocyte","FABP4","P15090","CHEMBL2083","Fatty acid binding protein family","0.100634432184","1 /  4     "
"SUMO-activating enzyme","SAE1 UBA2","Q9UBE0 Q9UBT2","CHEMBL2095174","Enzyme","0.100634432184","1 /  1     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.100634432184","10 /  38     "
"Dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.100634432184","0 /  2     "
"Adenosine A3 receptor","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.100634432184","0 /  3     "
"Serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.100634432184","0 /  5     "
"Cytochrome P450 2C19","CYP2C19","P33261","CHEMBL3622","Cytochrome P450","0.100634432184","0 /  4     "
"DNA topoisomerase I","TOP1","P11387","CHEMBL1781","Isomerase","0.100634432184","0 /  2     "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.100634432184","3 /  46     "
"LXR-alpha","NR1H3","Q13133","CHEMBL2808","Nuclear receptor","0.100634432184","1 /  20     "
"Protein kinase C eta","PRKCH","P24723","CHEMBL3616","Kinase","0.100634432184","2 /  1     "
"Prostanoid EP2 receptor   (by homology)","PTGER2","P43116","CHEMBL1881","Family A G protein-coupled receptor","0.100634432184","31 /  24     "
