"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Caspase-3","CASP3","P42574","CHEMBL2334","Protease","0.0604245879294","21 /  0     "
"Mannose-6-phosphate isomerase","MPI","P34949","CHEMBL2758","Isomerase","0.0604245879294","16 /  0     "
"Phosphoethanolamine/phosphocholine phosphatase","PHOSPHO1","Q8TCT1","CHEMBL6113","Enzyme","0.0604245879294","9 /  0     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.0604245879294","23 /  0     "
"Phosphodiesterase 7A","PDE7A","Q13946","CHEMBL3012","Phosphodiesterase","0.0604245879294","16 /  0     "
"Leukocyte elastase","ELANE","P08246","CHEMBL248","Protease","0.0604245879294","91 /  0     "
"Histone acetyltransferase PCAF","KAT2B","Q92831","CHEMBL5500","Writer","0.0604245879294","9 /  0     "
"Melanin-concentrating hormone receptor 1","MCHR1","Q99705","CHEMBL344","Family A G protein-coupled receptor","0.0604245879294","27 /  0     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.0604245879294","105 /  0     "
"Alpha-2a adrenergic receptor","ADRA2A","P08913","CHEMBL1867","Family A G protein-coupled receptor","0.0604245879294","11 /  0     "
"Adrenergic receptor alpha-2","ADRA2C","P18825","CHEMBL1916","Family A G protein-coupled receptor","0.0604245879294","8 /  0     "
"Puromycin-sensitive aminopeptidase","NPEPPS","P55786","CHEMBL2264","Protease","0.0604245879294","4 /  0     "
"Regulator of G-protein signaling 4","RGS4","P49798","CHEMBL1795091","Unclassified protein","0.0604245879294","16 /  0     "
"Phosphodiesterase 5A","PDE5A","O76074","CHEMBL1827","Phosphodiesterase","0.0604245879294","39 /  0     "
"Adenosine A1 receptor","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.0604245879294","110 /  0     "
"Adenosine A2a receptor","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","0.0604245879294","63 /  0     "
"Adenosine A2b receptor","ADORA2B","P29275","CHEMBL255","Family A G protein-coupled receptor","0.0604245879294","27 /  0     "
"Methionine aminopeptidase 1","METAP1","P53582","CHEMBL2474","Protease","0.0604245879294","10 /  0     "
"Voltage-gated L-type calcium channel alpha-1C subunit","CACNA1C","Q13936","CHEMBL1940","Voltage-gated ion channel","0.0604245879294","3 /  0     "
"26S proteosome","PSMB1","P20618","CHEMBL4208","Protease","0.0604245879294","1 /  0     "
"Interleukin-8 receptor B","CXCR2","P25025","CHEMBL2434","Family A G protein-coupled receptor","0.0604245879294","8 /  0     "
"Dihydrofolate reductase","DHFR","P00374","CHEMBL202","Oxidoreductase","0.0604245879294","6 /  0     "
"Transmembrane domain-containing protein TMIGD3","TMIGD3","P0DMS9","CHEMBL3712907","Unclassified protein","0.0604245879294","3 /  0     "
"Beta-chymotrypsin","CTRB1","P17538","CHEMBL4796","Protease","0.0604245879294","8 /  0     "
"GABA-A receptor; alpha-3/beta-3/gamma-2","GABRB3 GABRA3 GABRG2","P28472 P34903 P18507","CHEMBL2094120","Ligand-gated ion channel","0.0604245879294","48 /  0     "
