"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Protein kinase C delta","PRKCD","Q05655","CHEMBL2996","Kinase","0.0220563302807","45 /  39     "
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.0220563302807","51 /  206     "
"Protein kinase C beta","PRKCB","P05771","CHEMBL3045","Kinase","0.0220563302807","87 /  8     "
"Protein kinase C epsilon","PRKCE","Q02156","CHEMBL3582","Kinase","0.0220563302807","15 /  29     "
"Protein kinase C eta","PRKCH","P24723","CHEMBL3616","Kinase","0.0220563302807","13 /  6     "
"Protein kinase C theta","PRKCQ","Q04759","CHEMBL3920","Kinase","0.0220563302807","28 /  9     "
"Renin","REN","P00797","CHEMBL286","Protease","0.0220563302807","1042 /  0     "
"Neurokinin 1 receptor","TACR1","P25103","CHEMBL249","Family A G protein-coupled receptor","0.0220563302807","63 /  0     "
"PI3-kinase p110-gamma subunit","PIK3CG","P48736","CHEMBL3267","Enzyme","0.0220563302807","147 /  0     "
"PI3-kinase p110-alpha subunit","PIK3CA","P42336","CHEMBL4005","Enzyme","0.0220563302807","614 /  0     "
"C-C chemokine receptor type 1","CCR1","P32246","CHEMBL2413","Family A G protein-coupled receptor","0.0220563302807","61 /  0     "
"Protein phosphatase 2A regulatory subunit B'","PTPA","Q15257","CHEMBL2505","Phosphatase","0.0220563302807","2 /  3     "
"Cannabinoid receptor 1   (by homology)","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.0220563302807","113 /  0     "
"NAD-dependent deacetylase sirtuin 2","SIRT2","Q8IXJ6","CHEMBL4462","Eraser","0.0220563302807","6 /  0     "
"Proteinase-activated receptor 1","F2R","P25116","CHEMBL3974","Family A G protein-coupled receptor","0.0220563302807","26 /  0     "
"Ephrin receptor","EPHB4","P54760","CHEMBL5147","Kinase","0.0220563302807","42 /  0     "
"Thrombin and coagulation factor X","F10","P00742","CHEMBL244","Protease","0.0220563302807","221 /  0     "
"Cathepsin D","CTSD","P07339","CHEMBL2581","Protease","0.0220563302807","118 /  0     "
"Cathepsin E","CTSE","P14091","CHEMBL3092","Protease","0.0220563302807","22 /  0     "
"Pepsin A","PGA5","P0DJD9","CHEMBL3295","Protease","0.0220563302807","7 /  0     "
"MAP kinase ERK2","MAPK1","P28482","CHEMBL4040","Kinase","0.0220563302807","256 /  0     "
"Apoptosis regulator Bcl-2","BCL2","P10415","CHEMBL4860","Other ion channel","0.0220563302807","231 /  0     "
"Equilibrative nucleoside transporter 1","SLC29A1","Q99808","CHEMBL1997","Electrochemical transporter","0.0220563302807","37 /  0     "
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform","PPP2CA","P67775","CHEMBL4703","Phosphatase","0.0220563302807","2 /  8     "
"Cathepsin (B and K)","CTSB","P07858","CHEMBL4072","Protease","0.0220563302807","46 /  0     "
"Mitotic checkpoint serine/threonine-protein kinase BUB1","BUB1","O43683","CHEMBL1772932","Enzyme","0.0220563302807","2 /  0     "
"Pepsinogen C","PGC","P20142","CHEMBL2136","Protease","0.0220563302807","3 /  0     "
"Beta secretase 2","BACE2","Q9Y5Z0","CHEMBL2525","Protease","0.0220563302807","41 /  0     "
"Peptide N-myristoyltransferase 1","NMT1","P30419","CHEMBL2593","Enzyme","0.0220563302807","5 /  0     "
"Fibroblast growth factor receptor 1","FGFR1","P11362","CHEMBL3650","Kinase","0.0220563302807","61 /  0     "
"Growth hormone-releasing hormone receptor","GHRHR","Q02643","CHEMBL2032","Family B G protein-coupled receptor","0.0220563302807","1 /  0     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","0.0220563302807","441 /  0     "
"Heat shock protein HSP 90-beta","HSP90AB1","P08238","CHEMBL4303","Other cytosolic protein","0.0220563302807","49 /  0     "
"Inosine-5'-monophosphate dehydrogenase 1","IMPDH1","P20839","CHEMBL1822","Oxidoreductase","0.0220563302807","19 /  0     "
"Inosine-5'-monophosphate dehydrogenase 2","IMPDH2","P12268","CHEMBL2002","Oxidoreductase","0.0220563302807","38 /  0     "
"MAP kinase p38 alpha","MAPK14","Q16539","CHEMBL260","Kinase","0.0220563302807","217 /  0     "
"Corticotropin releasing factor receptor 1","CRHR1","P34998","CHEMBL1800","Family B G protein-coupled receptor","0.0220563302807","57 /  0     "
"Cathepsin K","CTSK","P43235","CHEMBL268","Protease","0.0220563302807","62 /  0     "
"PI3-kinase p110-beta subunit","PIK3CB","P42338","CHEMBL3145","Enzyme","0.0220563302807","136 /  0     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.0220563302807","51 /  29     "
"Phospholipase A2 group 1B","PLA2G1B","P04054","CHEMBL4426","Enzyme","0.0220563302807","0 /  4     "
"Phosphodiesterase 6A","PDE6A","P16499","CHEMBL3878","Phosphodiesterase","0.0220563302807","21 /  0     "
"Matrix metalloproteinase 13","MMP13","P45452","CHEMBL280","Protease","0.0220563302807","131 /  0     "
